,undp_hdi,cname,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
151,0.491,Senegal,SEN,SubSaharian,1527.99,NaN,7.4000000953674325,3.760167360305786,7.396200180053711,NaN
54,0.44100001,Ethiopia (1993-),ETH,SubSaharian,900.7700199999999,88.34700012207031,7.0,3.5992515087127686,4.500510215759277,30.274250030517578
111,NaN,Monaco,MCO,WesternDem,108481.13,NaN,NaN,NaN,1.0219500064849851,NaN
164,0.48800001,Sudan (2012-),SDN,SubSaharian,NaN,NaN,8.800000190734863,NaN,NaN,NaN
140,0.60299999,Timor-Leste,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195
118,0.63700002,Namibia,NAM,SubSaharian,4521.29,NaN,6.5,3.05289626121521,NaN,NaN
18,0.74699998,Bosnia and Herzegovina,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,NaN,NaN
112,0.73299998,Mongolia,MNG,EastAsia,6277.8999,2.881999969482422,3.0999999046325684,2.909875631332398,4.599870204925537,NaN
179,NaN,Tuvalu,TUV,Pacific,3174.05,0.0109999999403954,NaN,NaN,NaN,69.80497741699219
156,0.84200001,Slovakia,SVK,EastEurope,21776.34,5.415999889373778,4.199999809265137,2.762844562530518,4.238560199737549,NaN
130,0.78299999,Palau,PLW,Pacific,9392.5996,0.0179999992251396,NaN,NaN,NaN,70.16300201416016
65,0.57499999,Ghana,GHA,SubSaharian,2584.6001,NaN,7.5999999046325675,3.8389039039611816,6.178549766540527,51.05852890014648
5,0.78399998,Antigua and Barbuda,ATG,Caribbean,12257.71,NaN,7.300000190734862,NaN,NaN,79.73143768310547
25,0.55199999,Myanmar,MMR,SouthEastAsia,5733.3701,51.41899871826172,5.699999809265138,2.659119129180908,NaN,48.25643920898438
165,0.72299999,Suriname,SUR,Caribbean,6049.1499,0.546999990940094,7.300000190734862,2.884561777114868,NaN,58.39226913452148
181,0.74800003,Ukraine,UKR,EastEurope,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576903,88.56585693359375
186,0.91799998,United States,USA,WesternDem,47769.699,318.7890014648438,1.5,4.5645713806152335,5.380780220031738,90.46228790283205
8,0.93699998,Australia,AUS,WesternDem,38611.949,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789
141,0.85500002,Qatar,QAT,NorthAfrica,104049.44,2.045000076293945,3.0999999046325684,5.8205223083496085,3.6071898937225337,72.4646224975586
80,0.92000002,Ireland,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795
114,0.80400002,Montenegro,MNE,EastEurope,14538.52,0.621999979019165,3.5999999046325684,4.25305986404419,NaN,NaN
78,0.77399999,Iran,IRN,NorthAfrica,12889.28,75.1500015258789,6.199999809265138,3.0124309062957764,2.9541900157928467,80.731201171875
71,0.63800001,Guyana,GUY,Caribbean,2042.8199,0.7559999823570251,9.100000381469727,3.933674573898315,3.19215989112854,82.4810562133789
99,0.91100001,Liechtenstein,LIE,WesternDem,102243.52,NaN,NaN,NaN,2.556040048599243,91.53871917724608
86,0.79299998,Kazakhstan,KAZ,EastEurope,14098.88,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548
63,0.44999999,Gambia,GMB,SubSaharian,1601.88,NaN,7.699999809265138,4.276580810546875,2.767709970474243,NaN
171,0.73799998,Thailand,THA,SouthEastAsia,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,4.1288700103759775,83.64586639404297
190,0.76899999,Venezuela,VEN,LatAm,10513.96,NaN,5.199999809265137,2.640229225158691,NaN,74.78971099853516
